isolate	arm	n_plasmid	recovered	whole	precision	recall	tp_fp_fn
GCF000010465v1	base	0	0	0			
GCF000010465v1	model	0	0	0			
GCF000010465v1	careful	0	0	0			
GCF000010465v1	aggressive	0	0	0			
GCF000010465v1	spades	0	0	0			
GCF000597965v1	base	1	1	0	1.000	1.000	5/0/0
GCF000597965v1	model	1	1	0	1.000	1.000	3/0/0
GCF000597965v1	careful	1	1	1	1.000	1.000	1/0/0
GCF000597965v1	aggressive	1	1	0	1.000	1.000	3/0/0
GCF000597965v1	spades	1	1	1			0/0/0
GCF001975005v1	base	1	1	0	1.000	0.800	4/0/1
GCF001975005v1	model	1	1	0	1.000	1.000	3/0/0
GCF001975005v1	careful	1	1	0	1.000	1.000	3/0/0
GCF001975005v1	aggressive	1	1	0	1.000	1.000	3/0/0
GCF001975005v1	spades	1	1	0			0/0/0
GCF001975045v1	base	1	1	0	1.000	1.000	3/0/0
GCF001975045v1	model	1	1	0	1.000	1.000	3/0/0
GCF001975045v1	careful	1	1	0	1.000	1.000	3/0/0
GCF001975045v1	aggressive	1	1	0	1.000	0.750	3/0/1
GCF001975045v1	spades	1	1	0			0/0/0
GCF002025125v1	base	0	0	0			
GCF002025125v1	model	0	0	0			
GCF002025125v1	careful	0	0	0			
GCF002025125v1	aggressive	0	0	0			
GCF002025125v1	spades	0	0	0			
GCF002025145v1	base	1	1	1		0.000	0/0/1
GCF002025145v1	model	1	1	1		0.000	0/0/1
GCF002025145v1	careful	1	1	0		0.000	0/0/1
GCF002025145v1	aggressive	1	1	1	0.000	0.000	0/4/1
GCF002025145v1	spades	1	1	0			0/0/0
GCF002097595v2	base	0	0	0			
GCF002097595v2	model	0	0	0			
GCF002097595v2	careful	0	0	0			
GCF002097595v2	aggressive	0	0	0			
GCF002097595v2	spades	0	0	0			
GCF002204555v1	base	0	0	0			
GCF002204555v1	model	0	0	0			
GCF002204555v1	careful	0	0	0			
GCF002204555v1	aggressive	0	0	0			
GCF002204555v1	spades	0	0	0			
GCF002633765v1	base	0	0	0			
GCF002633765v1	model	0	0	0			
