# TesserACT head-to-head, contig level (QUAST -s, the _broken column).
# 40 Klebsiella pneumoniae isolates with closed reference genomes.
# Columns: vanilla TesserACT / TesserACT with a per-isolate genus model / SPAdes 4.2.0.
# The model panel is the 400 mash-nearest closed genomes of the isolate's own
# draft, from a corpus separate from the isolates scored here.
isolate	NGA50_vanilla	NGA50_model	NGA50_spades	misasm_vanilla	misasm_model	misasm_spades	mm_vanilla	mm_model	mm_spades	GF_vanilla	GF_model	GF_spades
ERR11578485	120535	178343	64353	0	0	0	0.19	0.93	1.07	99.064	99.064	98.919
ERR11578909	140074	261148	160991	0	0	1	0.26	0.26	1.27	98.718	98.729	98.59
ERR11578154	341798	341798	217329	1	1	0	1.15	1.15	0.34	99.128	99.125	98.773
ERR11578754	208993	293060	190819	2	2	3	3.65	3.65	2.69	99.177	99.182	98.589
ERR11578160	280284	290781	209763	0	0	0	0.14	0.14	0.6	99.249	99.256	98.656
ERR11578347	109247	163353	127842	1	1	0	0.43	0.43	1.44	99.03	99.077	98.388
ERR5056542	381379	483178	393479	0	0	0	0.0	0.0	0.64	99.354	99.358	99.135
ERR11578712	262258	288082	239098	0	0	0	0.19	0.19	0.69	99.026	99.026	98.828
ERR10447218	215981	292835	246761	2	2	4	0.05	0.07	0.46	98.386	98.329	98.097
ERR11578440	184594	212067	183712	0	0	1	0.27	0.4	0.31	99.319	99.338	98.845
ERR11578240	304593	350522	304445	0	0	0	0.52	0.52	0.39	99.204	99.207	98.948
ERR11578757	273638	368237	323852	0	0	2	0.16	0.16	0.17	99.326	99.326	99.184
ERR11578092	319374	350586	318884	0	0	0	0.07	0.07	0.13	99.34	99.34	98.959
ERR5056462	347711	363585	349476	0	0	2	1.83	2.09	1.17	99.249	99.237	98.92
ERR12132189	315928	365583	353043	0	0	0	0.02	0.02	0.18	99.361	99.343	99.147
ERR5056466	472779	764343	739807	0	0	0	0.25	0.25	0.97	99.354	99.342	99.3
ERR11578691	250090	288442	279231	0	0	1	0.49	0.49	0.48	99.201	99.197	99.044
ERR11579075	378692	378692	367681	1	1	0	0.3	0.3	0.34	99.23	99.23	99.077
ERR2631558	378338	474560	462724	0	0	1	0.46	0.46	0.54	99.378	99.376	99.04
ERR11578363	260156	479580	468392	0	0	0	0.21	0.21	0.06	99.244	99.252	99.133
ERR11578535	276736	304109	298292	2	2	0	0.04	0.04	0.15	99.406	99.396	98.967
ERR5056379	418230	418230	416424	0	0	0	0.07	0.07	0.42	99.325	99.332	99.223
ERR11578837	328956	328956	328589	0	1	0	0.0	0.0	0.11	99.198	99.198	98.871
ERR11578915	171653	282935	282750	0	0	1	0.61	0.59	0.36	99.155	99.143	99.031
ERR12791290	262945	361709	361504	0	0	0	0.22	0.22	0.17	99.237	99.239	99.1
ERR5056273	204526	209263	209303	3	3	1	1.23	1.23	0.76	99.046	99.048	98.331
ERR5056305	350612	357540	359002	1	1	0	0.07	0.07	0.02	99.422	99.423	99.192
ERR5056399	303257	348067	351891	0	0	0	0.07	0.07	0.73	99.212	99.212	99.093
ERR11578571	349022	357126	370937	1	1	1	0.77	0.77	0.22	99.315	99.326	99.076
ERR11578413	232708	302258	320313	0	0	0	0.02	0.02	0.72	99.178	99.173	99.138
ERR11578086	282239	285881	308807	0	0	0	0.04	0.04	0.04	99.267	99.267	98.923
ERR11579004	254761	305234	342483	1	1	0	0.4	0.4	1.04	99.221	99.222	99.16
ERR11578844	342310	348781	396195	0	0	1	0.22	0.22	0.05	99.186	99.178	98.948
ERR12791282	151903	151903	173374	1	2	0	0.24	0.24	0.24	98.949	98.98	98.42
ERR10447223	389400	404876	479491	0	0	0	0.19	0.19	0.13	99.241	99.238	98.932
ERR11578610	188024	216283	286987	0	0	1	0.15	0.15	0.57	99.132	99.138	98.876
ERR11578596	148916	195332	270586	0	0	1	0.29	0.97	1.33	99.021	99.031	98.822
ERR11579019	205061	231480	325614	0	0	0	0.11	0.11	0.13	99.336	99.337	99.184
ERR11578277	215412	215412	322481	2	2	3	1.77	1.77	1.59	99.133	99.133	98.779
ERR6294286	144404	161262	276182	1	1	2	0.65	0.35	1.57	99.208	99.239	98.825
