isolate	plasmid	plen	n_contigs	cov_frac	depth_ratio	max_ctg_frac
GCF000597965v1	NZ_CP007455.1	22990	3	0.959	2.90	0.609
GCF001975005v1	NZ_CP018767.1	26856	6	0.996	2.52	0.606
GCF001975045v1	NZ_CP018769.1	27270	11	1.000	6.70	0.456
GCF002025145v1	NZ_CP020021.1	27617	1	0.999	0.30	0.999
GCF002633825v1	NZ_CP017681.1	20653	1	0.999	0.65	1.006
GCF003111725v1	NZ_CP029167.1	27887	12	0.880	1.67	0.335
GCF003111725v1	NZ_CP029165.1	2495	3	0.505	10.34	0.274
GCF008619075v1	NZ_AP020325.1	30220	11	0.978	5.08	0.608
GCF008620175v1	NZ_AP020323.1	20547	4	0.999	2.38	0.669
GCF009176785v1	NZ_AP019544.1	23184	1	0.715	0.97	0.718
GCF009911965v1	NZ_CP047821.1	27406	4	0.999	2.84	0.539
GCF009912195v1	NZ_CP047823.1	3085	2	0.979	5.64	0.795
GCF009912195v1	NZ_CP047824.1	2961	3	0.993	3.56	0.856
GCF009912195v1	NZ_CP047825.1	2473	1	0.998	3.53	1.051
GCF009912375v1	NZ_CP047829.1	20730	1	1.000	3.65	1.006
GCF010364725v2	NZ_CP152421.1	39709	17	0.945	2.76	0.345
GCF013836745v1	NZ_CP058614.1	2473	9	0.930	14.33	0.360
GCF016591995v1	NZ_AP024171.1	24653	2	0.999	1.36	0.922
GCF018093205v1	NZ_CP071103.1	1533	0	0.000	0.00	0.000
GCF021725475v1	NZ_CP091413.1	24653	3	0.999	1.25	1.005
GCF021725475v1	NZ_CP091414.1	4430	0	0.000	0.00	0.000
GCF022404615v1	NZ_CP062325.1	27068	7	0.975	1.68	0.311
GCF022404755v1	NZ_CP062341.1	20721	1	1.000	2.15	1.006
GCF022404775v1	NZ_CP062343.1	20691	1	1.000	1.59	1.006
GCF022405055v1	NZ_CP062345.1	17329	1	0.999	1.08	1.007
GCF022405075v1	NZ_CP062347.1	45230	7	0.914	0.98	0.387
GCF022405145v1	NZ_CP062349.1	20653	1	1.000	0.76	1.006
GCF022405185v1	NZ_CP062351.1	16691	1	0.999	0.35	1.008
GCF022405275v1	NZ_CP062359.1	27268	1	1.000	0.89	1.005
GCF022405295v1	NZ_CP062361.1	42244	2	0.787	1.61	0.769
GCF022405335v1	NZ_CP062365.1	27473	1	0.991	1.91	0.992
GCF022405415v1	NZ_CP062373.1	28956	1	0.985	0.33	0.986
GCF022405415v1	NZ_CP062374.1	3566	1	0.994	4.85	1.035
GCF022405415v1	NZ_CP062375.1	2366	1	0.980	6.79	1.003
GCF022405435v1	NZ_CP062377.1	19781	1	1.000	2.00	1.006
GCF022405455v1	NZ_CP062379.1	27265	1	1.000	0.92	1.005
GCF022405495v1	NZ_CP062383.1	43339	3	0.412	2.64	0.960
GCF022405535v1	NZ_CP062387.1	2416	1	0.997	2.75	1.052
GCF022405575v1	NZ_CP062391.1	37087	1	1.000	0.80	1.003
GCF022405575v1	NZ_CP062392.1	24655	1	0.999	1.17	1.005
GCF022405595v1	NZ_CP062394.1	27439	2	1.000	2.91	0.674
GCF022405615v1	NZ_CP062396.1	43414	1	1.000	1.00	1.378
GCF022405615v1	NZ_CP062397.1	39353	3	0.969	1.71	0.546
GCF022693245v1	NZ_CP092545.1	78567	23	0.932	1.30	0.208
GCF022693245v1	NZ_CP092546.1	24653	2	1.000	1.82	0.921
GCF022832835v1	NZ_CP094854.1	2402	0	0.000	0.00	0.000
GCF026547035v1	NZ_CP096529.1	35612	7	0.981	0.30	0.749
GCF030063985v1	NZ_CP125898.1	20460	37	0.989	10.03	0.161
GCF030064025v1	NZ_CP125902.1	31301	0	0.000	0.00	0.000
GCF030262405v2	NZ_CP156985.1	24403	1	0.999	0.34	1.005
GCF030408975v1	NZ_CP115475.1	25430	7	0.998	1.36	0.424
GCF031190615v1	NZ_CP133443.1	2276	0	0.000	0.00	0.000
GCF031190615v1	NZ_CP133444.1	2908	1	0.051	1.44	0.696
GCF038024725v1	NZ_CP150734.1	21326	8	0.999	3.67	0.551
GCF038024985v1	NZ_CP150738.1	41460	6	0.514	10.28	0.319
GCF038025155v1	NZ_CP150745.1	13580	6	0.996	6.09	0.711
GCF038025155v1	NZ_CP150746.1	7432	2	0.713	12.18	0.292
GCF038427395v1	NZ_CP131653.1	33996	11	0.950	2.33	0.557
GCF038427395v1	NZ_CP131654.1	3011	6	0.640	44.89	0.175
