isolate	base|NGA50	base|NG50	base|Genome fraction (%)	base|# misassemblies	base|# local misassemblies	base|# mismatches per 100 kbp	base|# indels per 100 kbp	base|Largest alignment	base|# contigs	base|Duplication ratio	model|NGA50	model|NG50	model|Genome fraction (%)	model|# misassemblies	model|# local misassemblies	model|# mismatches per 100 kbp	model|# indels per 100 kbp	model|Largest alignment	model|# contigs	model|Duplication ratio	careful|NGA50	careful|NG50	careful|Genome fraction (%)	careful|# misassemblies	careful|# local misassemblies	careful|# mismatches per 100 kbp	careful|# indels per 100 kbp	careful|Largest alignment	careful|# contigs	careful|Duplication ratio	aggressive|NGA50	aggressive|NG50	aggressive|Genome fraction (%)	aggressive|# misassemblies	aggressive|# local misassemblies	aggressive|# mismatches per 100 kbp	aggressive|# indels per 100 kbp	aggressive|Largest alignment	aggressive|# contigs	aggressive|Duplication ratio	spades|NGA50	spades|NG50	spades|Genome fraction (%)	spades|# misassemblies	spades|# local misassemblies	spades|# mismatches per 100 kbp	spades|# indels per 100 kbp	spades|Largest alignment	spades|# contigs	spades|Duplication ratio
GCF000010465v1	159250.0	159250.0	97.663	2.0	1.0	5.19	2.23	315696.0	92.0	1.007	230902.0	230902.0	97.624	2.0	1.0	5.55	2.26	315696.0	82.0	1.007	186733.0	186733.0	97.749	2.0	1.0	4.55	2.01	339226.0	78.0	1.007	133173.0	210187.0	97.739	5.0	1.0	13.93	2.35	229916.0	91.0	1.013	178623.0	178623.0	96.961	2.0	1.0	7.02	1.97	283991.0	62.0	1.0
GCF000597965v1	209640.0	209640.0	98.865	0.0	0.0	0.72	1.44	378807.0	48.0	1.006	246779.0	246806.0	98.885	0.0	0.0	0.72	1.44	470232.0	40.0	1.005	230607.0	230607.0	98.968	0.0	0.0	0.58	1.26	387003.0	36.0	1.006	260045.0	260045.0	99.196	0.0	0.0	3.26	1.43	323447.0	50.0	1.009	327267.0	327267.0	98.472	0.0	1.0	2.37	1.17	384935.0	34.0	1.0
GCF001975005v1	460694.0	460694.0	98.798	1.0	0.0	0.69	0.62	633964.0	25.0	1.0	460694.0	460694.0	98.835	1.0	0.0	0.69	0.62	633964.0	23.0	1.0	442666.0	442666.0	98.837	1.0	0.0	0.69	0.62	633964.0	25.0	1.0	462065.0	462065.0	99.039	1.0	0.0	0.93	0.65	635335.0	23.0	1.005	442479.0	442479.0	98.651	0.0	0.0	0.35	0.42	635486.0	23.0	1.0
GCF001975045v1	223540.0	223540.0	98.836	0.0	0.0	0.0	0.07	572788.0	34.0	1.005	461991.0	461991.0	98.836	0.0	0.0	0.0	0.07	572788.0	32.0	1.004	461991.0	461991.0	98.836	0.0	0.0	0.0	0.07	572788.0	32.0	1.004	461991.0	461991.0	98.876	0.0	0.0	0.04	0.07	572788.0	32.0	1.004	283808.0	283808.0	98.617	0.0	0.0	0.21	0.11	638926.0	21.0	1.0
GCF002025125v1	310172.0	310172.0	99.311	0.0	0.0	0.25	0.11	679543.0	35.0	1.003	310172.0	310172.0	99.311	0.0	0.0	0.25	0.11	679543.0	35.0	1.003	309419.0	309419.0	99.242	0.0	0.0	0.25	0.11	679543.0	35.0	1.002	340962.0	386761.0	99.374	3.0	0.0	0.86	0.18	618503.0	28.0	1.002	228732.0	228732.0	98.847	0.0	0.0	0.51	0.14	617739.0	27.0	1.0
GCF002025145v1	285993.0	285993.0	98.917	0.0	0.0	0.47	0.5	663293.0	26.0	1.001	285993.0	285993.0	98.92	0.0	0.0	0.47	0.5	663293.0	24.0	1.001	285947.0	285947.0	98.846	0.0	0.0	0.0	0.11	662315.0	30.0	1.001	339897.0	339897.0	99.229	0.0	0.0	1.32	0.14	662315.0	26.0	1.006	209097.0	209097.0	98.638	0.0	1.0	0.4	0.11	661681.0	32.0	1.0
GCF002097595v2	187770.0	187770.0	98.942	1.0	0.0	2.22	0.17	769725.0	54.0	1.006	237691.0	237691.0	98.919	0.0	0.0	2.22	0.17	769725.0	50.0	1.005	237691.0	237691.0	98.874	0.0	0.0	2.22	0.17	769725.0	56.0	1.006	188791.0	188791.0	99.165	3.0	0.0	6.98	0.49	771123.0	47.0	1.007	263444.0	263444.0	98.538	0.0	0.0	1.2	0.07	768526.0	54.0	1.001
GCF002204555v1	36253.0	36253.0	98.245	0.0	0.0	7.32	0.71	110222.0	165.0	1.006	38461.0	38461.0	98.246	0.0	1.0	7.32	0.71	110222.0	162.0	1.006	39286.0	39286.0	98.239	0.0	1.0	7.33	0.67	110222.0	163.0	1.005	38461.0	38461.0	98.406	0.0	1.0	0.81	0.78	110222.0	164.0	1.007	70109.0	104102.0	98.218	2.0	0.0	5.97	1.35	225354.0	86.0	1.001
GCF002633765v1	534783.0	534783.0	99.201	0.0	0.0	0.0	0.15	595172.0	23.0	1.003	534783.0	534783.0	99.201	0.0	0.0	0.0	0.15	595172.0	23.0	1.003	534783.0	534783.0	99.201	0.0	0.0	0.0	0.15	595172.0	25.0	1.003	534783.0	534783.0	99.69	0.0	0.0	0.3	0.15	604651.0	21.0	1.004	532589.0	532589.0	98.907	0.0	0.0	0.15	0.19	603221.0	17.0	1.0
GCF002633785v1	167285.0	167285.0	98.958	0.0	0.0	0.04	0.21	428174.0	45.0	1.008	208330.0	208330.0	98.963	0.0	0.0	0.04	0.21	428174.0	38.0	1.007	208330.0	208330.0	98.947	0.0	2.0	0.7	0.21	428174.0	41.0	1.007	246142.0	246142.0	99.16	0.0	1.0	1.15	0.21	719149.0	34.0	1.009	174971.0	174971.0	98.252	0.0	1.0	0.61	0.21	426393.0	38.0	1.0
