isolate	base|NGA50	base|NG50	base|Genome fraction (%)	base|# misassemblies	base|# local misassemblies	base|# mismatches per 100 kbp	base|# indels per 100 kbp	base|Largest alignment	base|# contigs	base|Duplication ratio	model|NGA50	model|NG50	model|Genome fraction (%)	model|# misassemblies	model|# local misassemblies	model|# mismatches per 100 kbp	model|# indels per 100 kbp	model|Largest alignment	model|# contigs	model|Duplication ratio	careful|NGA50	careful|NG50	careful|Genome fraction (%)	careful|# misassemblies	careful|# local misassemblies	careful|# mismatches per 100 kbp	careful|# indels per 100 kbp	careful|Largest alignment	careful|# contigs	careful|Duplication ratio	aggressive|NGA50	aggressive|NG50	aggressive|Genome fraction (%)	aggressive|# misassemblies	aggressive|# local misassemblies	aggressive|# mismatches per 100 kbp	aggressive|# indels per 100 kbp	aggressive|Largest alignment	aggressive|# contigs	aggressive|Duplication ratio	spades|NGA50	spades|NG50	spades|Genome fraction (%)	spades|# misassemblies	spades|# local misassemblies	spades|# mismatches per 100 kbp	spades|# indels per 100 kbp	spades|Largest alignment	spades|# contigs	spades|Duplication ratio
GCA013319925v2	64613.0	64613.0	98.657	0.0	1.0	0.6	6.84	182023.0	103.0	1.004	65037.0	65037.0	98.633	0.0	1.0	0.6	6.84	182023.0	101.0	1.004	65050.0	65050.0	98.654	0.0	2.0	0.6	6.87	182023.0	104.0	1.004	65037.0	65037.0	98.791	1.0	1.0	0.9	6.89	182023.0	100.0	1.006	82152.0	82152.0	98.311	2.0	1.0	3.08	6.93	222122.0	157.0	1.0
GCA016534165v2	26399.0	26399.0	93.241	1.0	0.0	0.96	0.17	102699.0	270.0	1.008	27975.0	30910.0	93.343	3.0	0.0	0.96	0.17	102704.0	245.0	1.007	32259.0	32259.0	93.776	2.0	0.0	0.82	0.17	102704.0	239.0	1.008	31640.0	32259.0	93.787	3.0	0.0	1.42	0.17	102704.0	254.0	1.011	26322.0	26322.0	92.422	2.0	1.0	1.6	0.52	102665.0	214.0	1.001
GCA017301355v1	21380.0	21380.0	94.377	0.0	1.0	2.05	15.35	85644.0	306.0	1.015	22871.0	22871.0	94.446	0.0	1.0	2.01	15.44	86976.0	296.0	1.015	22871.0	22871.0	94.502	0.0	1.0	1.79	15.44	86976.0	298.0	1.014	23291.0	23291.0	95.118	1.0	2.0	10.84	16.23	85644.0	300.0	1.022	30139.0	30139.0	92.436	4.0	2.0	12.58	12.91	129055.0	225.0	1.001
GCA043302005v1	29951.0	30901.0	96.179	2.0	2.0	2.77	2.09	125990.0	232.0	1.017	35713.0	35713.0	96.227	2.0	2.0	2.78	2.09	125990.0	218.0	1.016	35713.0	35713.0	96.243	2.0	2.0	0.92	2.03	126036.0	223.0	1.015	47811.0	47811.0	97.498	1.0	2.0	9.76	2.74	145490.0	206.0	1.027	34779.0	34779.0	93.819	0.0	0.0	4.76	1.6	131636.0	183.0	1.002
GCA045160005v1	52426.0	52426.0	97.115	1.0	1.0	1.59	0.26	147071.0	162.0	1.024	77083.0	77083.0	97.108	1.0	2.0	2.67	0.52	209398.0	145.0	1.02	77083.0	77083.0	97.072	0.0	2.0	1.14	0.23	222131.0	150.0	1.02	63731.0	63731.0	97.803	1.0	1.0	1.6	0.29	222688.0	151.0	1.032	49231.0	49231.0	95.213	1.0	0.0	0.71	0.17	146014.0	161.0	1.002
GCA050909045v1	41299.0	41299.0	95.286	4.0	0.0	2.32	40.33	159081.0	174.0	1.009	45636.0	45636.0	95.451	4.0	0.0	2.31	40.28	159081.0	162.0	1.01	45636.0	45636.0	95.594	3.0	0.0	2.31	40.38	159081.0	166.0	1.011	42986.0	42986.0	95.957	4.0	0.0	3.82	40.08	159081.0	172.0	1.016	36736.0	36769.0	93.812	0.0	1.0	2.83	40.54	158871.0	171.0	1.001
GCA052977445v1	40037.0	40037.0	94.112	0.0	0.0	3.19	0.2	144932.0	205.0	1.012	40037.0	40037.0	94.059	0.0	0.0	3.22	0.2	158235.0	197.0	1.012	40037.0	40037.0	94.004	0.0	0.0	3.09	0.2	158235.0	199.0	1.012	38455.0	38455.0	95.041	1.0	0.0	3.46	0.22	158792.0	207.0	1.026	31170.0	31170.0	92.235	0.0	1.0	2.55	0.47	142386.0	216.0	1.001
GCA052977495v1	26066.0	26959.0	94.918	8.0	1.0	10.18	0.68	86460.0	365.0	1.038	27629.0	28159.0	94.908	9.0	5.0	13.5	0.72	95447.0	350.0	1.036	26685.0	27904.0	94.875	10.0	4.0	11.81	0.62	95212.0	360.0	1.037	29558.0	30494.0	95.909	9.0	5.0	14.41	0.79	87816.0	357.0	1.05	22856.0	22970.0	90.554	4.0	0.0	5.38	0.74	101091.0	416.0	1.001
GCF001587115v1	89229.0	89229.0	97.8	0.0	1.0	16.39	1.34	228174.0	123.0	1.008	93482.0	93482.0	97.779	0.0	1.0	16.4	1.34	228174.0	119.0	1.007	88076.0	88321.0	97.873	0.0	0.0	15.95	1.3	228174.0	130.0	1.008	94306.0	94306.0	98.424	0.0	1.0	17.76	2.05	229590.0	115.0	1.016	105750.0	105750.0	97.022	0.0	0.0	9.19	1.25	227998.0	134.0	1.001
GCF002442955v1	34977.0	35309.0	94.093	4.0	0.0	2.49	0.24	106508.0	226.0	1.018	36099.0	37398.0	94.118	7.0	0.0	2.49	0.27	106508.0	217.0	1.018	36129.0	37398.0	94.269	6.0	1.0	2.18	0.34	106786.0	221.0	1.019	38770.0	39392.0	95.421	8.0	1.0	4.93	0.4	106671.0	236.0	1.028	34771.0	34771.0	92.616	1.0	0.0	2.04	0.18	106980.0	239.0	1.001
GCF002761275v1	32915.0	32915.0	94.767	3.0	0.0	2.98	0.23	101347.0	211.0	1.016	37319.0	37319.0	95.041	3.0	0.0	2.97	0.23	116444.0	191.0	1.015	33978.0	34828.0	94.911	2.0	0.0	1.81	0.16	116444.0	211.0	1.017	41049.0	41049.0	95.653	3.0	0.0	4.34	0.29	107308.0	202.0	1.028	30843.0	31646.0	93.166	3.0	2.0	6.89	0.92	101427.0	196.0	1.003
GCF003020685v1	22881.0	22881.0	94.971	1.0	1.0	1.56	0.88	130456.0	307.0	1.013	24453.0	24453.0	95.011	2.0	1.0	1.49	0.88	130456.0	299.0	1.012	25301.0	25301.0	95.094	4.0	1.0	1.07	0.81	130456.0	297.0	1.013	24453.0	24453.0	95.95	3.0	1.0	4.74	0.92	130456.0	298.0	1.024	27831.0	27831.0	92.763	1.0	3.0	4.81	1.01	180945.0	227.0	1.001
GCF003020725v1	26310.0	26310.0	95.794	3.0	0.0	2.42	1.68	137066.0	316.0	1.016	27041.0	27041.0	95.832	3.0	0.0	2.26	1.71	137066.0	302.0	1.016	27041.0	27041.0	95.803	2.0	0.0	2.42	1.68	137066.0	301.0	1.016	28710.0	28710.0	97.041	5.0	0.0	8.48	1.85	138132.0	308.0	1.034	34860.0	36583.0	93.595	4.0	1.0	4.55	1.67	158949.0	223.0	1.001
