isolate	stratum	base|NGA50	base|NG50	base|Genome fraction (%)	base|# misassemblies	base|# local misassemblies	base|# mismatches per 100 kbp	base|# indels per 100 kbp	base|Largest alignment	base|# contigs	base|Duplication ratio	clonal|NGA50	clonal|NG50	clonal|Genome fraction (%)	clonal|# misassemblies	clonal|# local misassemblies	clonal|# mismatches per 100 kbp	clonal|# indels per 100 kbp	clonal|Largest alignment	clonal|# contigs	clonal|Duplication ratio	clonal_f10|NGA50	clonal_f10|NG50	clonal_f10|Genome fraction (%)	clonal_f10|# misassemblies	clonal_f10|# local misassemblies	clonal_f10|# mismatches per 100 kbp	clonal_f10|# indels per 100 kbp	clonal_f10|Largest alignment	clonal_f10|# contigs	clonal_f10|Duplication ratio	small|NGA50	small|NG50	small|Genome fraction (%)	small|# misassemblies	small|# local misassemblies	small|# mismatches per 100 kbp	small|# indels per 100 kbp	small|Largest alignment	small|# contigs	small|Duplication ratio	spades|NGA50	spades|NG50	spades|Genome fraction (%)	spades|# misassemblies	spades|# local misassemblies	spades|# mismatches per 100 kbp	spades|# indels per 100 kbp	spades|Largest alignment	spades|# contigs	spades|Duplication ratio
GCA017301355v1	singleton	21380.0	21380.0	94.377	0.0	1.0	2.01	15.38	85644.0	306.0	1.015	21837.0	21837.0	94.448	0.0	2.0	1.95	15.46	85644.0	299.0	1.015	22328.0	22328.0	94.422	1.0	1.0	2.01	15.34	85644.0	299.0	1.016	22871.0	22871.0	94.441	1.0	1.0	2.01	15.32	86976.0	293.0	1.015	30139.0	30139.0	92.436	4.0	2.0	12.58	12.91	129055.0	225.0	1.001
GCA043302005v1	singleton	29951.0	30901.0	96.211	2.0	2.0	2.77	2.09	125990.0	232.0	1.017	35713.0	35713.0	96.245	2.0	3.0	2.78	2.09	125990.0	220.0	1.016	32245.0	32560.0	96.261	2.0	2.0	2.77	2.09	125990.0	221.0	1.017	35877.0	35877.0	96.249	2.0	3.0	2.78	2.09	125990.0	219.0	1.016	34779.0	34779.0	93.819	0.0	0.0	4.76	1.6	131636.0	183.0	1.002
GCA045160005v1	singleton	52426.0	52426.0	97.13	1.0	1.0	1.59	0.26	147071.0	162.0	1.024	59165.0	59165.0	97.076	1.0	2.0	2.66	0.49	274611.0	150.0	1.022	59165.0	59165.0	97.112	2.0	2.0	2.7	0.49	274611.0	150.0	1.021	56037.0	57387.0	97.169	1.0	2.0	2.66	0.49	147071.0	153.0	1.022	49231.0	49231.0	95.213	1.0	0.0	0.71	0.17	146014.0	161.0	1.002
GCF002761275v1	clonal	32915.0	32915.0	94.78	3.0	0.0	2.98	0.23	101347.0	211.0	1.016	37319.0	37319.0	95.016	4.0	0.0	5.02	0.23	116444.0	190.0	1.015	37319.0	37319.0	94.958	4.0	0.0	3.0	0.23	116444.0	198.0	1.016	33978.0	33978.0	95.014	4.0	0.0	5.05	0.23	135136.0	193.0	1.014	30843.0	31646.0	93.166	3.0	2.0	6.89	0.92	101427.0	196.0	1.003
GCF003020685v1	singleton	22881.0	22881.0	94.959	1.0	1.0	1.56	0.88	130456.0	307.0	1.013	24453.0	24453.0	95.003	2.0	1.0	1.49	0.88	130456.0	300.0	1.012	24453.0	24453.0	95.022	1.0	1.0	1.5	0.88	130456.0	299.0	1.011	24453.0	24453.0	95.02	1.0	1.0	1.5	0.88	130456.0	297.0	1.011	27831.0	27831.0	92.763	1.0	3.0	4.81	1.01	180945.0	227.0	1.001
GCF008728475v1	singleton	33547.0	33547.0	95.212	4.0	1.0	1.21	0.55	117052.0	200.0	1.015	40234.0	40234.0	95.277	4.0	1.0	1.21	0.56	133128.0	187.0	1.011	40234.0	40234.0	95.315	6.0	1.0	1.24	0.56	133128.0	185.0	1.011	39664.0	39664.0	95.246	6.0	1.0	1.21	0.56	133128.0	187.0	1.012	32054.0	32054.0	92.734	0.0	1.0	1.43	0.37	109616.0	187.0	1.001
GCF009697285v1	singleton	12687.0	12740.0	90.68	4.0	1.0	3.13	0.62	50008.0	463.0	1.011	13294.0	13294.0	90.74	4.0	1.0	3.06	0.59	50008.0	453.0	1.011	12897.0	12910.0	90.783	5.0	1.0	3.16	0.62	50008.0	455.0	1.01	13131.0	13131.0	90.766	4.0	1.0	3.06	0.59	50008.0	454.0	1.01	20830.0	21426.0	90.212	9.0	2.0	11.62	2.15	59211.0	318.0	1.0
GCF009938285v1	singleton	29568.0	29568.0	95.892	3.0	0.0	1.22	5.57	144893.0	229.0	1.022	32784.0	32784.0	95.828	4.0	0.0	1.23	5.49	144893.0	218.0	1.019	31385.0	31385.0	95.881	3.0	0.0	1.26	5.55	144893.0	221.0	1.02	29926.0	29926.0	95.794	3.0	0.0	1.26	5.55	144893.0	219.0	1.021	29329.0	29329.0	93.252	2.0	2.0	2.81	5.1	143392.0	205.0	1.001
GCF015999425v1	singleton	31191.0	31191.0	95.209	1.0	0.0	1.16	5.46	148168.0	239.0	1.016	33427.0	33427.0	95.184	1.0	0.0	1.23	5.66	148168.0	233.0	1.016	33427.0	33427.0	95.234	1.0	0.0	1.29	5.63	148168.0	234.0	1.016	33427.0	33427.0	95.18	1.0	0.0	1.23	5.66	148168.0	235.0	1.016	33785.0	33785.0	93.21	1.0	0.0	4.36	3.53	206705.0	165.0	1.001
GCF016406445v1	clonal	33393.0	33393.0	96.774	2.0	0.0	0.45	0.19	133163.0	194.0	1.028	37796.0	37796.0	96.849	3.0	0.0	0.49	0.19	133163.0	178.0	1.025	37253.0	37253.0	96.787	2.0	0.0	0.45	0.19	133163.0	182.0	1.026	37796.0	37796.0	96.861	3.0	0.0	0.48	0.19	133163.0	180.0	1.026	31201.0	31201.0	92.93	0.0	2.0	2.76	0.52	135247.0	197.0	1.001
GCF016406565v1	clonal	30551.0	30551.0	95.224	1.0	1.0	2.01	0.29	157128.0	198.0	1.016	40149.0	40149.0	95.35	3.0	1.0	2.04	0.32	157128.0	179.0	1.014	40149.0	40149.0	95.38	2.0	1.0	2.04	0.29	157128.0	178.0	1.013	39040.0	39225.0	95.284	4.0	1.0	2.04	0.32	157128.0	181.0	1.015	26131.0	26131.0	91.97	0.0	1.0	4.16	0.61	155647.0	206.0	1.001
GCF018219325v1	clonal	31409.0	31409.0	95.69	1.0	1.0	1.61	6.13	160390.0	210.0	1.019	41193.0	42506.0	95.674	2.0	1.0	1.84	8.3	160390.0	196.0	1.018	42506.0	42506.0	95.564	2.0	1.0	1.62	6.01	160390.0	197.0	1.019	39361.0	40149.0	95.642	2.0	1.0	1.84	8.33	160390.0	198.0	1.019	29310.0	29310.0	91.902	0.0	0.0	2.46	0.58	160240.0	206.0	1.001
GCF020162155v1	singleton	25879.0	26120.0	92.731	3.0	0.0	1.53	2.7	91789.0	235.0	1.011	26120.0	26120.0	92.737	3.0	0.0	1.53	2.7	108997.0	226.0	1.01	26120.0	26120.0	92.744	3.0	0.0	1.53	2.7	108997.0	227.0	1.01	26602.0	26602.0	92.788	3.0	0.0	1.53	2.7	108997.0	225.0	1.01	28165.0	28165.0	92.11	2.0	1.0	2.46	3.03	137215.0	191.0	1.001
GCF020162175v1	singleton	42177.0	42177.0	95.964	2.0	0.0	1.62	0.44	137840.0	193.0	1.021	45933.0	45933.0	95.875	3.0	0.0	1.62	0.44	137840.0	184.0	1.021	45933.0	45933.0	95.859	5.0	0.0	1.65	0.44	137840.0	181.0	1.022	50263.0	50263.0	95.886	3.0	0.0	1.62	0.44	137840.0	185.0	1.021	33560.0	33560.0	93.036	0.0	0.0	2.23	0.57	136643.0	189.0	1.001
GCF023375365v1	singleton	78138.0	78138.0	97.427	1.0	0.0	1.32	0.35	207528.0	97.0	1.009	79366.0	79366.0	97.442	1.0	0.0	1.44	0.35	207528.0	92.0	1.008	79366.0	79366.0	97.486	3.0	0.0	1.63	0.35	207528.0	90.0	1.008	79366.0	79366.0	97.443	1.0	0.0	1.44	0.35	207528.0	92.0	1.008	77917.0	77917.0	95.885	0.0	1.0	0.88	0.16	206933.0	98.0	1.0
GCF023375385v1	singleton	80114.0	80114.0	96.972	0.0	0.0	0.18	0.07	159166.0	105.0	1.003	82412.0	82412.0	96.995	2.0	0.0	0.18	0.04	183105.0	100.0	1.003	82406.0	101978.0	97.01	3.0	0.0	0.18	0.04	183105.0	97.0	1.003	82406.0	101978.0	96.967	1.0	0.0	0.18	0.07	183105.0	101.0	1.003	79507.0	79507.0	95.879	1.0	1.0	0.89	0.63	158243.0	101.0	1.0
GCF023375425v1	singleton	129611.0	129611.0	98.287	1.0	1.0	0.38	0.1	326011.0	71.0	1.005	129611.0	129611.0	98.307	1.0	1.0	0.38	0.1	330654.0	66.0	1.005	129611.0	129611.0	98.328	1.0	1.0	0.38	0.1	330654.0	65.0	1.005	129611.0	129611.0	98.307	1.0	1.0	0.38	0.1	326011.0	68.0	1.005	128629.0	128629.0	97.832	0.0	0.0	1.24	0.48	325469.0	71.0	1.0
GCF026409165v1	singleton	24290.0	24290.0	95.235	1.0	2.0	0.88	0.47	100303.0	254.0	1.02	25561.0	25561.0	95.21	2.0	2.0	0.85	0.47	100303.0	248.0	1.02	24623.0	24623.0	95.286	3.0	2.0	0.85	0.47	100303.0	247.0	1.019	25989.0	25989.0	95.247	2.0	2.0	0.85	0.47	100303.0	247.0	1.019	21438.0	21438.0	91.025	0.0	0.0	1.48	0.17	85625.0	235.0	1.001
GCF038436665v1	clonal	44137.0	44137.0	95.441	0.0	0.0	0.26	0.19	107964.0	187.0	1.019	50746.0	50746.0	95.384	0.0	0.0	0.32	0.23	131780.0	175.0	1.017	49879.0	49879.0	95.435	0.0	0.0	0.32	0.19	131780.0	177.0	1.018	50746.0	50807.0	95.355	1.0	0.0	0.36	0.23	141026.0	176.0	1.019	40601.0	40601.0	92.795	0.0	1.0	2.1	0.47	102043.0	177.0	1.001
GCF038437885v1	clonal	26347.0	26347.0	92.726	5.0	0.0	1.6	0.33	106373.0	254.0	1.011	26347.0	26347.0	92.664	5.0	0.0	1.6	0.33	126366.0	242.0	1.011	26347.0	26347.0	92.66	5.0	0.0	1.6	0.33	126366.0	249.0	1.011	29984.0	29984.0	92.669	5.0	0.0	1.63	0.33	126366.0	242.0	1.012	25658.0	25658.0	90.055	0.0	0.0	1.84	0.45	98787.0	237.0	1.001
GCF038441015v1	singleton	29812.0	32615.0	94.384	5.0	0.0	0.3	0.23	136273.0	233.0	1.016	33411.0	35634.0	94.485	5.0	1.0	0.3	0.26	136273.0	220.0	1.015	33411.0	35634.0	94.569	5.0	1.0	0.3	0.26	136273.0	223.0	1.015	33149.0	35634.0	94.386	5.0	0.0	0.3	0.23	136273.0	220.0	1.016	28207.0	28207.0	92.244	1.0	2.0	3.75	0.96	134206.0	211.0	1.001
