isolate	plasmid	plen	n_contigs	cov_frac	depth_ratio	max_ctg_frac
GCF000597965v1	NZ_CP007455.1	22990	1	0.960	5.12	1.002
GCF001975005v1	NZ_CP018767.1	26856	2	0.999	1.95	1.002
GCF001975045v1	NZ_CP018769.1	27270	2	1.000	40.48	1.005
GCF002025145v1	NZ_CP020021.1	27617	2	0.992	0.48	0.987
GCF002633825v1	NZ_CP017681.1	20653	1	0.999	1.00	1.006
GCF003111725v1	NZ_CP029167.1	27887	7	0.817	1.81	0.390
GCF003111725v1	NZ_CP029165.1	2495	2	0.990	23.22	1.051
GCF008619075v1	NZ_AP020325.1	30220	3	0.976	7.11	0.907
GCF008620175v1	NZ_AP020323.1	20547	1	0.999	3.90	1.006
GCF009176785v1	NZ_AP019544.1	23184	1	0.713	0.89	0.716
GCF009911965v1	NZ_CP047821.1	27406	1	1.000	3.09	1.001
GCF009912195v1	NZ_CP047823.1	3085	2	0.993	11.73	1.029
GCF009912195v1	NZ_CP047824.1	2961	3	0.993	4.65	0.857
GCF009912195v1	NZ_CP047825.1	2473	1	0.998	4.55	1.051
GCF009912375v1	NZ_CP047829.1	20730	1	1.000	3.98	1.006
GCF010364725v2	NZ_CP152421.1	39709	11	0.955	1.85	0.350
GCF013836745v1	NZ_CP058614.1	2473	23	0.994	0.45	1.031
GCF016591995v1	NZ_AP024171.1	24653	1	0.999	1.90	1.005
GCF018093205v1	NZ_CP071103.1	1533	0	0.000	0.00	0.000
GCF021725475v1	NZ_CP091413.1	24653	1	0.999	1.51	1.005
GCF021725475v1	NZ_CP091414.1	4430	0	0.000	0.00	0.000
GCF022404615v1	NZ_CP062325.1	27068	3	0.993	5.15	0.984
GCF022404755v1	NZ_CP062341.1	20721	1	1.000	2.81	1.006
GCF022404775v1	NZ_CP062343.1	20691	1	1.000	2.35	1.006
GCF022405055v1	NZ_CP062345.1	17329	1	0.999	2.15	1.007
GCF022405075v1	NZ_CP062347.1	45230	5	0.912	1.91	0.414
GCF022405145v1	NZ_CP062349.1	20653	1	1.000	2.73	1.006
GCF022405185v1	NZ_CP062351.1	16691	1	0.999	1.17	1.008
GCF022405275v1	NZ_CP062359.1	27268	1	1.000	2.08	1.005
GCF022405295v1	NZ_CP062361.1	42244	1	0.572	1.13	0.778
GCF022405335v1	NZ_CP062365.1	27473	1	0.999	2.34	1.008
GCF022405415v1	NZ_CP062373.1	28956	2	0.990	1.07	0.986
GCF022405415v1	NZ_CP062374.1	3566	1	0.994	9.52	1.036
GCF022405415v1	NZ_CP062375.1	2366	1	0.986	13.72	1.054
GCF022405435v1	NZ_CP062377.1	19781	1	1.000	3.77	1.006
GCF022405455v1	NZ_CP062379.1	27265	1	1.000	1.80	1.005
GCF022405495v1	NZ_CP062383.1	43339	6	0.958	1.46	0.408
GCF022405535v1	NZ_CP062387.1	2416	1	0.997	8.99	1.053
GCF022405575v1	NZ_CP062391.1	37087	1	1.000	1.10	1.003
GCF022405575v1	NZ_CP062392.1	24655	1	0.999	1.69	1.005
GCF022405595v1	NZ_CP062394.1	27439	3	0.990	2.79	0.665
GCF022405615v1	NZ_CP062396.1	43414	2	1.000	1.77	1.000
GCF022405615v1	NZ_CP062397.1	39353	4	0.980	1.90	0.546
GCF022693245v1	NZ_CP092545.1	78567	21	0.890	1.22	0.206
GCF022693245v1	NZ_CP092546.1	24653	1	1.000	2.32	1.005
GCF022832835v1	NZ_CP094854.1	2402	1	0.161	0.07	0.881
GCF026547035v1	NZ_CP096529.1	35612	1	0.998	0.34	1.000
GCF030063985v1	NZ_CP125898.1	20460	1	0.999	12.38	1.006
GCF030064025v1	NZ_CP125902.1	31301	0	0.000	0.00	0.000
GCF030262405v2	NZ_CP156985.1	24403	1	0.999	0.86	1.003
GCF030408975v1	NZ_CP115475.1	25430	1	0.986	2.22	0.988
GCF031190615v1	NZ_CP133443.1	2276	1	0.041	4.22	0.882
GCF031190615v1	NZ_CP133444.1	2908	5	0.042	3.71	4.943
GCF038024725v1	NZ_CP150734.1	21326	1	0.999	7.37	1.006
GCF038024985v1	NZ_CP150738.1	41460	2	0.502	77.08	0.503
GCF038025155v1	NZ_CP150745.1	13580	4	0.980	10.53	0.711
GCF038025155v1	NZ_CP150746.1	7432	1	0.691	11.15	0.292
GCF038427395v1	NZ_CP131653.1	33996	27	0.929	1.91	0.529
GCF038427395v1	NZ_CP131654.1	3011	4	0.739	53.47	0.653
GCF038428225v1	NZ_CP131656.1	4397	1	0.996	15.34	1.018
GCF038428225v1	NZ_CP131657.1	2920	1	0.991	25.07	1.026
GCF038428225v1	NZ_CP131658.1	1491	1	0.993	32.74	1.052
GCF038429035v1	NZ_CP131660.1	28311	8	0.756	2.04	0.366
GCF038429905v1	NZ_CP131664.1	32304	5	0.895	2.02	0.419
GCF038430005v1	NZ_CP131669.1	33066	8	0.958	1.89	0.395
GCF038430115v1	NZ_CP131671.1	21144	13	0.922	2.86	0.554
GCF038430115v1	NZ_CP131672.1	3011	1	0.992	21.55	1.026
GCF038430115v1	NZ_CP131673.1	2366	1	0.992	18.38	1.033
GCF039830175v1	NZ_CP156176.1	27268	3	0.994	3.22	0.937
GCF045346525v1	NZ_CP150778.1	42165	1	0.508	2.38	0.509
GCF045346765v1	NZ_CP150770.1	42652	1	0.502	12.88	0.503
GCF045347315v1	NZ_CP150755.1	24665	6	0.999	19.30	0.922
GCF045347525v1	NZ_CP150750.1	7876	0	0.000	0.00	0.000
GCF046741595v1	NZ_CP123069.1	20721	1	1.000	4.56	1.004
GCF046741605v1	NZ_CP123071.1	4209	0	0.876	0.00	0.000
