isolate	stratum	base|NGA50	base|NG50	base|Genome fraction (%)	base|# misassemblies	base|# local misassemblies	base|# mismatches per 100 kbp	base|# indels per 100 kbp	base|Largest alignment	base|# contigs	base|Duplication ratio	clonal|NGA50	clonal|NG50	clonal|Genome fraction (%)	clonal|# misassemblies	clonal|# local misassemblies	clonal|# mismatches per 100 kbp	clonal|# indels per 100 kbp	clonal|Largest alignment	clonal|# contigs	clonal|Duplication ratio	small|NGA50	small|NG50	small|Genome fraction (%)	small|# misassemblies	small|# local misassemblies	small|# mismatches per 100 kbp	small|# indels per 100 kbp	small|Largest alignment	small|# contigs	small|Duplication ratio	spades|NGA50	spades|NG50	spades|Genome fraction (%)	spades|# misassemblies	spades|# local misassemblies	spades|# mismatches per 100 kbp	spades|# indels per 100 kbp	spades|Largest alignment	spades|# contigs	spades|Duplication ratio
GCF002097595v2	singleton	187770.0	187770.0	98.942	1.0	0.0	2.22	0.17	769725.0	54.0	1.006	237691.0	237691.0	98.919	0.0	0.0	1.26	0.17	769725.0	49.0	1.005	237691.0	237691.0	98.919	0.0	0.0	2.22	0.17	769725.0	51.0	1.005	263444.0	263444.0	98.538	0.0	0.0	1.2	0.07	768526.0	54.0	1.001
GCF003111725v1	singleton	14194.0	14194.0	95.568	2.0	1.0	3.72	0.35	42062.0	395.0	1.012	17440.0	17926.0	95.569	3.0	1.0	3.83	0.35	66519.0	352.0	1.01	18430.0	18560.0	95.569	3.0	1.0	3.83	0.35	66519.0	348.0	1.01	28223.0	29444.0	95.083	5.0	1.0	7.95	2.07	78810.0	251.0	1.001
GCF005931055v2	singleton	228862.0	228862.0	99.408	0.0	0.0	0.68	0.14	565862.0	36.0	1.002	275812.0	275812.0	99.371	0.0	0.0	0.68	0.14	565862.0	32.0	1.002	275812.0	275812.0	99.394	0.0	0.0	0.68	0.14	565862.0	34.0	1.002	39026.0	39026.0	98.93	0.0	2.0	1.4	0.54	150788.0	138.0	1.004
GCF009912195v1	singleton	86767.0	86767.0	98.98	0.0	0.0	0.14	0.36	263023.0	87.0	1.005	94217.0	94217.0	98.98	0.0	0.0	0.14	0.36	263023.0	81.0	1.004	99004.0	99004.0	98.98	0.0	0.0	0.14	0.36	302604.0	78.0	1.004	92223.0	92223.0	98.072	1.0	0.0	1.37	0.43	249161.0	373.0	1.0
GCF009912455v1	clonal	620516.0	620516.0	99.117	0.0	0.0	0.0	0.15	992257.0	25.0	1.002	620516.0	620516.0	99.117	0.0	0.0	0.0	0.15	992257.0	25.0	1.002	620516.0	620516.0	98.991	0.0	0.0	0.0	0.15	992257.0	24.0	1.001	618988.0	618988.0	98.958	0.0	1.0	0.19	0.53	991162.0	123.0	1.001
GCF009912795v1	singleton	78336.0	78336.0	98.519	1.0	0.0	0.52	0.24	240308.0	118.0	1.007	87795.0	87795.0	98.56	1.0	0.0	0.55	0.24	313825.0	112.0	1.007	78336.0	78336.0	98.56	1.0	0.0	0.58	0.24	240308.0	116.0	1.007	98286.0	98286.0	97.644	0.0	1.0	0.91	0.14	182519.0	293.0	1.001
GCF009913075v1	singleton	171088.0	171088.0	98.83	0.0	2.0	5.0	0.61	607186.0	55.0	1.004	171088.0	171088.0	98.83	0.0	2.0	5.0	0.61	607186.0	53.0	1.004	171088.0	171088.0	98.814	0.0	2.0	5.0	0.61	607186.0	52.0	1.004	174637.0	174637.0	98.611	0.0	1.0	1.87	0.04	607105.0	203.0	1.001
GCF016591995v1	singleton	35068.0	35068.0	98.561	0.0	0.0	0.46	1.65	117162.0	218.0	1.009	35068.0	35068.0	98.561	0.0	0.0	0.46	1.65	117162.0	215.0	1.009	37000.0	37000.0	98.561	0.0	0.0	0.46	1.65	117162.0	215.0	1.009	51105.0	51105.0	98.286	1.0	0.0	0.6	1.35	121003.0	139.0	1.001
GCF019653615v1	singleton	87409.0	87409.0	98.897	0.0	3.0	0.48	0.41	164276.0	89.0	1.008	87409.0	87409.0	98.862	0.0	3.0	0.48	0.48	178009.0	87.0	1.008	87409.0	87409.0	98.909	0.0	3.0	0.48	0.48	178009.0	85.0	1.007	72097.0	74028.0	97.425	2.0	1.0	5.58	0.95	168765.0	88.0	1.001
GCF022405275v1	clonal	245065.0	245065.0	99.115	0.0	0.0	0.07	0.04	710307.0	29.0	1.003	633736.0	633736.0	99.115	0.0	0.0	0.11	0.04	1356260.0	21.0	1.002	633736.0	633736.0	99.115	0.0	0.0	0.11	0.04	1302844.0	23.0	1.003	243817.0	243817.0	98.698	0.0	0.0	0.04	0.07	707702.0	24.0	1.0
